,genes,logFC,logCPM,F,PValue,FDR,change,CPM.WTHPmock_1,CPM.WTHPmock_2,CPM.WTHPmock_3,CPM.WTHPmock_4,CPM.WTHPmyc_1,CPM.WTHPmyc_2,CPM.WTHPmyc_3,CPM.WTHPmyc_4
942,AGIS_Os01g009420, 1.406372e+00,-1.1100274767, 1.677357e+00,2.295468e-01,0.704101481,Not_significant,8.567203e-02,4.969225e-01,1.394475e-01,3.137232e-01,7.922345e-01,5.345641e-01,5.015261e-01,5.269394e-01
945,AGIS_Os01g009450,-2.932636e-01, 2.4472246422, 1.183609e+00,3.066843e-01,0.750321303,Not_significant,5.590100e+00,5.681481e+00,7.460439e+00,5.190693e+00,5.721694e+00,4.852197e+00,4.285768e+00,4.561319e+00
947,AGIS_Os01g009470,-5.354881e-01, 3.1897550466, 4.578889e+00,6.299790e-02,0.565676176,Not_significant,1.561373e+01,9.077118e+00,8.808431e+00,8.784250e+00,1.148740e+01,5.900766e+00,4.035005e+00,8.990903e+00
948,AGIS_Os01g009480, 1.197935e+00,-1.4684330128, 6.934468e-01,4.279072e-01,0.811443895,Not_significant,2.784341e-01,2.981535e-01,4.415836e-01,0.000000e+00,6.161824e-01,3.495227e-01,3.647463e-01,2.634697e-01
953,AGIS_Os01g009530,-1.066027e+00, 2.4756192789, 1.290549e+01,6.451567e-03,0.356629292,DOWN,5.268830e+00,8.646452e+00,8.459812e+00,7.343975e+00,2.860847e+00,3.125144e+00,2.963563e+00,5.532863e+00
954,AGIS_Os01g009540,-8.522285e-01, 0.7449781275, 2.824544e+00,1.293360e-01,0.632034583,Not_significant,4.305020e+00,1.159486e+00,1.743093e+00,1.340454e+00,1.936573e+00,1.151369e+00,4.559328e-01,1.037412e+00
955,AGIS_Os01g009550, 4.524501e-01, 4.5531950828, 8.107035e-01,3.977181e-01,0.796772148,Not_significant,8.845638e+00,2.290813e+01,7.367474e+00,4.126886e+01,7.628925e+00,2.777677e+01,4.374675e+01,2.797719e+01
956,AGIS_Os01g009560,-5.356661e-01, 5.0608389314, 6.401452e+00,3.379958e-02,0.530071094,Not_significant,7.729759e+01,3.127299e+01,2.414765e+01,3.141510e+01,3.251096e+01,2.267786e+01,2.359452e+01,2.382754e+01
957,AGIS_Os01g009570, 9.580116e-02, 4.1482783965, 2.749082e-01,6.135343e-01,0.884964108,Not_significant,1.229394e+01,1.694506e+01,2.038257e+01,1.937954e+01,1.666627e+01,1.953215e+01,1.883003e+01,1.753720e+01
959,AGIS_Os01g009590,-8.751399e-02, 2.6917912596, 1.333270e-01,7.239804e-01,0.922155992,Not_significant,5.076068e+00,8.315171e+00,7.065338e+00,6.174643e+00,5.824391e+00,6.805413e+00,6.656619e+00,5.483463e+00
960,AGIS_Os01g009600,-3.511518e-02, 4.3339564071, 3.046310e-02,8.655543e-01,0.966827219,Not_significant,1.347193e+01,2.323941e+01,2.047553e+01,2.526898e+01,1.998192e+01,2.125920e+01,1.800935e+01,1.933209e+01
961,AGIS_Os01g009610, 2.033950e+00,-0.6144057903, 3.850834e+00,8.343220e-02,0.596769170,Not_significant,0.000000e+00,7.619479e-01,9.296497e-02,5.133652e-01,2.640782e-01,1.562572e+00,3.875429e-01,1.333815e+00
964,AGIS_Os01g009640, 3.066211e-01, 4.1370345638, 2.726542e+00,1.352913e-01,0.637628687,Not_significant,2.610855e+01,8.928042e+00,1.185303e+01,1.460239e+01,3.422747e+01,8.265184e+00,1.775858e+01,1.870635e+01
