GeneID	WTLPmock_1	WTLPmock_2	WTLPmock_3	WTLPmock_4	WTLPmyc_1	WTLPmyc_2	WTLPmyc_3	WTLPmyc_4
AGIS_Os01g002360	0	0	0	0	0	0	0	0
AGIS_Os01g002370	0	0	0	0	0	0	0	0
AGIS_Os01g002380	0	0	0	0	0	0	0	0
AGIS_Os01g002390	0	0	0	0	0	0	0	0
AGIS_Os01g002400	0	22	0	0	0	0	2	2
AGIS_Os01g002410	334	353	781	390	434	189	284	386
AGIS_Os01g002420	130	229	220	160	153	174	159	166
AGIS_Os01g002430	866	951	1727	977	988	712	1267	1371
AGIS_Os01g002440	918	796	1555	877	1105	972	1567	1412
AGIS_Os01g002450	67	20	105	171	111	71	165	165
AGIS_Os01g002460	0	0	0	0	0	0	0	0
AGIS_Os01g002470	1	0	0	0	0	3	0	0
AGIS_Os01g002480	28	56	43	14	28	17	28	8
AGIS_Os01g002490	0	0	0	0	0	0	0	0
AGIS_Os01g002500	0	0	0	0	0	0	0	0
AGIS_Os01g002510	0	0	0	0	0	0	0	0
AGIS_Os01g002520	0	0	0	0	0	0	0	0
AGIS_Os01g002530	510	1056	2529	1431	1288	253	1177	1278
AGIS_Os01g002540	281	888	2219	722	1615	1363	1040	852
AGIS_Os01g002550	1298	5731	8897	10053	1037	792	716	809
AGIS_Os01g002560	678	730	1018	1061	835	602	1006	401
AGIS_Os01g002570	72	50	39	25	23	10	2	8
AGIS_Os01g002580	0	0	0	0	0	4	19	6
AGIS_Os01g002590	2092	2967	12105	3100	2601	815	3874	4504
AGIS_Os01g002600	267	673	600	600	833	615	874	588
AGIS_Os01g002610	205	273	318	189	221	203	372	236
AGIS_Os01g002620	195	376	224	210	68	85	159	118
AGIS_Os01g002630	257	444	331	325	988	938	1966	1336
AGIS_Os01g002640	1519	3165	2335	2269	1276	897	1904	1028
AGIS_Os01g002650	114	150	279	117	248	124	159	243
AGIS_Os01g002660	1630	1757	2784	1870	2390	1589	3030	2426
AGIS_Os01g002670	0	0	0	0	0	0	0	0
AGIS_Os01g002680	0	0	0	0	0	0	0	0
AGIS_Os01g002690	0	0	0	0	0	0	0	0
AGIS_Os01g002700	0	0	0	0	0	0	0	0
AGIS_Os01g002710	111	28	103	79	17	102	153	128
AGIS_Os01g002720	1238	809	1152	1002	757	874	1593	1009
AGIS_Os01g002730	0	0	0	0	0	0	0	0
AGIS_Os01g002740	0	0	0	0	0	0	0	0
AGIS_Os01g002750	0	0	0	0	0	0	0	0
AGIS_Os01g002760	165	277	291	117	57	57	137	144
AGIS_Os01g002770	0	0	0	0	0	0	0	0
AGIS_Os01g002780	91	590	509	154	125	131	110	158
AGIS_Os01g002790	10	32	54	18	33	8	34	19
AGIS_Os01g002800	3156	3989	4123	3252	2202	1655	2614	1617
AGIS_Os01g002810	0	0	0	0	0	0	0	0
AGIS_Os01g002820	225	323	580	244	241	169	190	197
AGIS_Os01g002830	251	148	647	449	382	122	101	784
AGIS_Os01g002840	0	0	0	0	0	0	0	0
AGIS_Os01g002850	0	0	0	0	0	0	0	0
AGIS_Os01g002860	56	195	109	62	20	12	44	18
AGIS_Os01g002870	0	0	0	0	0	0	0	0
AGIS_Os01g002880	0	0	0	0	0	0	0	0
AGIS_Os01g002890	0	0	0	0	0	1	0	0
AGIS_Os01g002900	1213	2255	1879	1563	1531	1007	1910	1277
AGIS_Os01g002910	9751	13964	16817	13614	12120	9230	15769	8265
AGIS_Os01g002920	150	251	273	177	252	136	261	209
AGIS_Os01g002930	5	22	6	2	22	0	0	16
AGIS_Os01g002940	1505	2807	1816	4463	551	503	683	1252
AGIS_Os01g002950	0	0	0	4	0	4	0	12
AGIS_Os01g002960	0	26	31	14	38	0	0	1
AGIS_Os01g002970	0	0	0	0	0	0	0	0
AGIS_Os01g002980	134	227	204	202	212	116	184	186
AGIS_Os01g002990	127	363	222	55	288	153	232	149
AGIS_Os01g003000	1862	3647	4287	3204	2431	1355	2243	1614
AGIS_Os01g003010	37	78	40	69	31	24	22	8
AGIS_Os01g003020	0	0	0	0	0	0	0	0
AGIS_Os01g003030	0	0	0	0	0	0	0	0
AGIS_Os01g003040	123	104	204	85	78	30	93	57
AGIS_Os01g003050	24	69	342	58	78	28	102	184
AGIS_Os01g003060	0	0	0	0	0	0	0	0
AGIS_Os01g003070	2713	2637	3911	3542	4321	2548	5387	3451
AGIS_Os01g003080	424	569	679	584	726	494	701	468
AGIS_Os01g003090	6	21	10	18	0	10	10	10
AGIS_Os01g003100	0	10	22	12	0	4	0	31
AGIS_Os01g003110	41	92	129	72	104	46	24	114
AGIS_Os01g003120	34	52	60	106	168	77	137	94
AGIS_Os01g003130	784	1018	1765	886	1973	1261	2483	1468
AGIS_Os01g003140	0	0	0	0	0	0	0	0
AGIS_Os01g003150	965	987	1366	924	886	688	722	689
AGIS_Os01g003160	8	31	41	18	11	26	9	33
AGIS_Os01g003170	729	1590	1782	1460	1323	932	1675	1128
AGIS_Os01g003180	0	0	0	0	0	0	0	0
AGIS_Os01g003190	0	0	0	0	0	0	0	0
AGIS_Os01g003200	0	0	0	3	16	0	0	0
AGIS_Os01g003210	10	26	28	60	20	59	141	16
AGIS_Os01g003220	209	721	839	537	802	1096	870	1207
AGIS_Os01g003230	0	0	0	0	0	0	10	10
AGIS_Os01g003240	1569	2241	1456	1520	550	438	725	402
AGIS_Os01g003250	0	0	0	4	56	10	56	8
AGIS_Os01g003260	20	52	75	66	20	9	10	0
AGIS_Os01g003270	0	0	0	4	0	0	4	0
AGIS_Os01g003280	57	149	223	232	887	465	881	544
AGIS_Os01g003290	1047	1412	1403	1104	890	832	1247	798
AGIS_Os01g003300	440	784	942	660	799	462	899	531
AGIS_Os01g003310	2	4	8	2	0	14	0	0
AGIS_Os01g003320	587	732	740	634	467	397	870	420
AGIS_Os01g003330	33	20	52	22	16	4	68	35
AGIS_Os01g003340	0	0	10	16	0	0	4	0
AGIS_Os01g003350	2	9	10	0	10	34	20	4
AGIS_Os01g003360	24	18	8	9	37	36	26	9
AGIS_Os01g003370	33	56	66	40	48	26	87	24
AGIS_Os01g003380	0	0	0	0	0	0	0	0
AGIS_Os01g003390	3	10	10	16	20	52	62	3
AGIS_Os01g003400	1	0	0	0	12	5	0	0
AGIS_Os01g003410	0	0	8	0	0	6	0	0
AGIS_Os01g003420	3	29	3	22	12	14	40	9
AGIS_Os01g003430	0	0	0	0	0	6	0	0
AGIS_Os01g003440	40	37	34	68	84	98	142	70
AGIS_Os01g003450	1302	1516	1419	1280	474	385	580	302
AGIS_Os01g003460	108	104	74	114	59	70	36	48
AGIS_Os01g003470	32	18	40	22	4	28	21	53
AGIS_Os01g003480	0	0	0	0	0	0	0	0
AGIS_Os01g003490	891	1044	633	915	108	56	493	135
AGIS_Os01g003500	8554	10555	10273	11372	5291	4921	9215	3761
AGIS_Os01g003510	40	78	70	55	20	54	5	46
AGIS_Os01g003520	4608	5187	7103	5908	3877	4209	7201	5836
AGIS_Os01g003530	84	62	30	30	22	14	17	9
