ID,genes,logFC,logCPM,F,PValue,FDR,change,CPM.WTLPmock_1,CPM.WTLPmock_2,CPM.WTLPmock_3,CPM.WTLPmock_4,CPM.WTLPmyc_1,CPM.WTLPmyc_2,CPM.WTLPmyc_3,CPM.WTLPmyc_4
4675,AGIS_Os01g046750,-9.431133e-01, 3.2913079795, 5.782238e+00,3.642650e-02,1.456940e-01,Not_significant,1.259385e+01,1.421050e+01,1.566771e+01,7.640380e+00,6.045525e+00,2.918811e+00,8.717994e+00,9.730175e+00
4678,AGIS_Os01g046780, 3.735516e-01, 4.6559087813, 4.105936e+00,6.814743e-02,2.178451e-01,Not_significant,2.427731e+01,1.601562e+01,2.151099e+01,2.640176e+01,3.217083e+01,2.590445e+01,2.674007e+01,2.799907e+01
4681,AGIS_Os01g046810, 1.142674e+00, 9.9248692932, 3.670417e+01,8.861290e-05,1.882480e-03,UP,5.406759e+02,4.870361e+02,5.899470e+02,8.422245e+02,1.388614e+03,1.228941e+03,1.417077e+03,1.281156e+03
4684,AGIS_Os01g046840,-5.707287e-01, 4.4250766339, 5.263242e+00,4.287239e-02,1.619029e-01,Not_significant,2.513713e+01,2.200707e+01,3.040434e+01,2.287869e+01,2.025251e+01,1.137120e+01,1.326014e+01,2.581475e+01
4688,AGIS_Os01g046880,-9.152195e-01, 6.1612383115, 2.605966e+01,3.615451e-04,5.451992e-03,Not_significant,6.595336e+01,1.036982e+02,8.630081e+01,1.199115e+02,5.009149e+01,4.116739e+01,4.761929e+01,5.704067e+01
4689,AGIS_Os01g046890,-2.922840e-01, 4.0998895438, 1.433309e+00,2.568384e-01,4.928316e-01,Not_significant,1.932069e+01,1.670694e+01,1.759406e+01,2.041679e+01,1.165923e+01,2.310725e+01,1.402938e+01,1.370167e+01
4690,AGIS_Os01g046900, 1.235545e+00, 1.1936115584, 4.736631e+00,5.263004e-02,1.846739e-01,Not_significant,1.567910e+00,6.145081e-01,1.476874e+00,1.358290e+00,3.886409e+00,1.155363e+00,2.710637e+00,4.865087e+00
4691,AGIS_Os01g046910, 5.134155e-01, 4.8557808734, 7.153060e+00,2.192620e-02,1.031886e-01,Not_significant,2.377153e+01,2.358175e+01,2.613425e+01,2.101104e+01,3.381176e+01,2.675577e+01,3.296720e+01,4.294184e+01
4692,AGIS_Os01g046920, 4.194900e-01, 3.5571423526, 2.577980e+00,1.371726e-01,3.356957e-01,Not_significant,9.356879e+00,6.836403e+00,1.370924e+01,1.052675e+01,1.615019e+01,1.240495e+01,1.337003e+01,1.112020e+01
4693,AGIS_Os01g046930, 5.424290e-02, 2.2113495985, 2.039063e-02,8.890802e-01,9.509034e-01,Not_significant,4.804884e+00,4.724031e+00,3.660079e+00,4.244655e+00,5.527337e+00,4.621450e+00,2.527486e+00,6.304756e+00
4694,AGIS_Os01g046940, 1.532062e-01, 6.0506743391, 1.047699e+00,3.284146e-01,5.659978e-01,Not_significant,5.826554e+01,6.851765e+01,5.502961e+01,6.961235e+01,6.749397e+01,7.126763e+01,7.029341e+01,6.915374e+01
4696,AGIS_Os01g046960, 3.563575e-01, 2.1972427490, 5.196492e-01,4.863001e-01,7.027817e-01,Not_significant,6.018749e+00,1.344236e+00,5.971708e+00,3.353278e+00,6.434166e+00,5.472770e+00,3.333351e+00,4.120431e+00
4697,AGIS_Os01g046970,-2.405143e+00, 0.3553123021, 1.604260e+00,2.352005e-01,4.653284e-01,Not_significant,2.073687e+00,9.217621e-01,1.605298e+00,1.528076e+00,0.000000e+00,2.249917e+00,0.000000e+00,1.290737e+00
4699,AGIS_Os01g046990, 3.345534e-01, 3.3449070828, 1.756276e+00,2.124374e-01,4.378192e-01,Not_significant,8.699369e+00,7.066843e+00,8.861244e+00,1.124834e+01,1.027739e+01,1.082392e+01,1.227113e+01,1.136842e+01
4700,AGIS_Os01g047000, 5.127115e-01, 1.1861672147, 5.025125e-01,4.934140e-01,7.080766e-01,Not_significant,2.427731e+00,1.843524e+00,1.830040e+00,6.791449e-01,2.850033e+00,1.641831e+00,1.245428e+00,5.063662e+00
4702,AGIS_Os01g047020, 6.746554e-02, 2.8195420509, 3.805449e-02,8.489545e-01,9.306037e-01,Not_significant,9.306302e+00,4.339963e+00,7.609112e+00,6.324537e+00,5.268243e+00,7.357836e+00,7.033004e+00,8.588369e+00
4703,AGIS_Os01g047030, 4.178898e-02, 5.1190565941, 5.634368e-02,8.168130e-01,9.148255e-01,Not_significant,4.410378e+01,3.452767e+01,2.863851e+01,3.034929e+01,3.515041e+01,3.301905e+01,3.468882e+01,3.688531e+01
4705,AGIS_Os01g047050, 9.546121e-02, 6.0324241410, 4.250245e-01,5.280686e-01,7.331747e-01,Not_significant,6.150252e+01,6.049064e+01,6.755093e+01,6.273601e+01,5.911660e+01,6.476112e+01,7.827879e+01,6.850837e+01
4706,AGIS_Os01g047060, 3.183908e+00, 8.6292467283, 1.472624e+02,2.778203e-07,2.464561e-05,UP,6.504296e+01,6.133559e+01,6.260662e+01,1.427902e+02,5.655157e+02,7.144398e+02,8.773306e+02,6.781336e+02
4708,AGIS_Os01g047080,-3.797174e-01, 3.6726391085, 2.288003e+00,1.590708e-01,3.674180e-01,Not_significant,1.476870e+01,1.267423e+01,1.842882e+01,1.146057e+01,8.118276e+00,1.124958e+01,1.208797e+01,1.251022e+01
4709,AGIS_Os01g047090,-5.845275e-01, 4.4114471082, 7.348494e+00,2.055956e-02,9.904799e-02,Not_significant,2.169784e+01,2.642385e+01,2.440053e+01,2.865142e+01,2.245481e+01,1.593184e+01,1.362644e+01,1.633279e+01
4710,AGIS_Os01g047100,-2.468537e-01, 3.8418580727, 9.090669e-01,3.612114e-01,5.972529e-01,Not_significant,2.109091e+01,1.290467e+01,1.348450e+01,1.464406e+01,1.045012e+01,1.252656e+01,1.652023e+01,1.241094e+01
4711,AGIS_Os01g047110, 7.504407e-01, 6.1296892695, 1.511729e+01,2.614299e-03,2.310697e-02,Not_significant,6.170483e+01,3.556466e+01,5.634595e+01,5.692083e+01,7.194175e+01,9.267224e+01,9.472577e+01,8.965661e+01
4712,AGIS_Os01g047120,-1.474595e+00, 0.0290257255, 2.479976e+00,1.441169e-01,3.461531e-01,Not_significant,9.609768e-01,1.805118e+00,1.284238e+00,1.400736e+00,4.750055e-01,6.080856e-01,2.930418e-01,5.957250e-01
4713,AGIS_Os01g047130, 3.627341e-01, 3.5884128692, 1.898864e+00,1.960805e-01,4.166450e-01,Not_significant,1.527447e+01,7.066843e+00,9.760211e+00,1.052675e+01,1.304106e+01,1.343869e+01,1.446894e+01,1.201379e+01
4714,AGIS_Os01g047140,-5.880481e-01, 2.6839493976, 3.083646e+00,1.073560e-01,2.900737e-01,Not_significant,7.485504e+00,8.411080e+00,6.934887e+00,7.088575e+00,4.965967e+00,4.743068e+00,3.296720e+00,7.794069e+00
4715,AGIS_Os01g047150,-1.512685e-01, 7.9033930108, 8.266436e-01,3.830833e-01,6.164459e-01,Not_significant,2.285102e+02,3.008401e+02,2.124772e+02,2.685169e+02,2.451460e+02,2.333224e+02,2.293052e+02,1.965396e+02
4717,AGIS_Os01g047170,-9.421964e-02, 6.5654028222, 7.023286e-02,7.988726e-01,9.058792e-01,Not_significant,7.182037e+01,5.899278e+01,1.253095e+02,1.168978e+02,9.184880e+01,5.916673e+01,4.399290e+01,1.889441e+02
4722,AGIS_Os01g047220, 5.798920e-01, 2.3517273061, 1.148611e+00,3.079457e-01,5.460666e-01,Not_significant,4.804884e+00,2.342812e+00,4.847999e+00,3.056152e+00,2.288663e+00,6.810559e+00,4.395627e+00,1.171592e+01
4725,AGIS_Os01g047250,-5.323821e-01, 5.2272358512, 5.161011e+00,4.537573e-02,1.677212e-01,Not_significant,3.970352e+01,4.919905e+01,5.136953e+01,3.489107e+01,2.798214e+01,2.292483e+01,2.813201e+01,4.472902e+01
4726,AGIS_Os01g047260,-1.175545e+00, 1.1701000908, 6.865762e-01,4.317534e-01,6.586129e-01,Not_significant,3.945063e+00,2.458032e+00,1.059497e+00,2.292114e+00,0.000000e+00,1.094554e+00,5.274753e+00,1.141806e+00
