GeneID	pho2mockLP_1	pho2mockLP_2	pho2mockLP_3	pho2mockLP_4	pho2mockHP_1	pho2mockHP_2	pho2mockHP_3	pho2mockHP_4
AGIS_Os01g003550	0	0	0	0	0	0	0	0
AGIS_Os01g003560	106	77	48	36	47	52	34	34
AGIS_Os01g003570	0	0	0	0	0	0	0	0
AGIS_Os01g003580	577	484	349	672	563	369	540	846
AGIS_Os01g003590	283	367	305	347	219	205	159	443
AGIS_Os01g003600	4584	4286	2645	2899	3456	3846	5552	4230
AGIS_Os01g003610	0	0	0	0	0	0	0	0
AGIS_Os01g003620	0	32	19	0	3	4	0	4
AGIS_Os01g003630	0	0	0	0	0	0	0	0
AGIS_Os01g003640	0	0	0	0	0	0	0	0
AGIS_Os01g003650	0	0	0	0	0	0	0	0
AGIS_Os01g003660	0	0	0	0	0	0	0	0
AGIS_Os01g003670	0	0	0	0	0	0	0	0
AGIS_Os01g003680	0	0	0	0	0	0	0	0
AGIS_Os01g003690	164	159	340	54	1082	156	306	211
AGIS_Os01g003700	2537	2745	2845	3024	3055	2564	3103	3269
AGIS_Os01g003710	0	0	0	0	0	0	0	0
AGIS_Os01g003720	4	18	6	7	64	19	0	26
AGIS_Os01g003730	0	0	0	0	0	0	0	0
AGIS_Os01g003740	56	167	145	95	108	142	170	39
AGIS_Os01g003750	80	116	155	109	117	172	52	75
AGIS_Os01g003760	434	639	702	647	426	412	575	603
AGIS_Os01g003770	128	263	331	262	107	224	208	174
AGIS_Os01g003780	200	202	107	127	166	192	319	208
AGIS_Os01g003790	16921	16861	17531	13303	5226	9890	13397	10591
AGIS_Os01g003800	2305	1393	1590	1264	1860	1360	2337	2303
AGIS_Os01g003810	2209	1134	1323	1367	710	938	2034	2424
AGIS_Os01g003820	0	0	0	0	0	0	0	0
AGIS_Os01g003830	0	0	0	0	0	0	0	0
AGIS_Os01g003840	0	0	0	0	0	0	0	0
AGIS_Os01g003850	167	254	274	252	231	234	160	277
AGIS_Os01g003860	0	0	0	0	0	0	0	0
AGIS_Os01g003870	772	825	571	663	545	759	818	935
AGIS_Os01g003880	0	0	0	0	0	0	0	0
AGIS_Os01g003890	0	0	0	0	0	0	0	0
AGIS_Os01g003900	0	0	0	0	0	0	0	0
AGIS_Os01g003910	1	2	0	1	2	12	0	1
AGIS_Os01g003920	544	473	421	375	223	375	591	334
AGIS_Os01g003930	4976	2838	2592	2177	2676	2082	5001	3303
AGIS_Os01g003940	970	1124	946	1064	1032	786	1344	1073
AGIS_Os01g003950	14	221	231	149	27	135	50	38
AGIS_Os01g003960	265	351	395	326	295	326	219	233
AGIS_Os01g003970	96	152	116	124	154	128	129	130
AGIS_Os01g003980	53	102	71	74	41	59	30	71
AGIS_Os01g003990	9	15	16	0	9	11	0	2
AGIS_Os01g004000	98	256	266	153	148	179	60	127
AGIS_Os01g004010	329	302	280	342	290	282	379	243
AGIS_Os01g004020	242	86	67	114	76	64	139	77
AGIS_Os01g004030	0	0	0	0	0	0	0	0
AGIS_Os01g004040	4	0	4	2	29	5	0	4
AGIS_Os01g004050	250	217	229	193	269	191	269	153
AGIS_Os01g004060	0	0	0	0	0	0	0	0
AGIS_Os01g004070	0	0	0	0	0	0	0	4
AGIS_Os01g004080	45	10	3	24	14	4	46	32
