,genes,logFC,logCPM,F,PValue,FDR,change,CPM.pho2mycLP_1,CPM.pho2mycLP_2,CPM.pho2mycLP_3,CPM.pho2mycLP_4,CPM.pho2mycHP_1,CPM.pho2mycHP_2,CPM.pho2mycHP_3,CPM.pho2mycHP_4
13667,AGIS_Os03g016690, 6.420574e-01, 4.817889e+00, 7.469198e+00,2.523469e-02,0.1382414676,Not_significant,1.518746e+01,2.451324e+01,2.061873e+01,2.800623e+01,3.863294e+01,3.800031e+01,3.701023e+01,2.336481e+01
13669,AGIS_Os03g016710,-4.643673e-02, 3.173626e+00, 8.280866e-02,7.793205e-01,0.8916019819,Not_significant,8.238048e+00,8.874030e+00,9.479415e+00,9.933748e+00,9.335896e+00,8.050138e+00,8.795014e+00,9.175655e+00
13671,AGIS_Os03g016730, 7.917444e-01,-4.847847e-01, 1.284921e+00,2.830669e-01,0.5328023608,Not_significant,3.221583e-01,8.604098e-01,1.399914e-01,7.139244e-01,4.775395e-01,1.628323e+00,7.625734e-01,4.729719e-01
13672,AGIS_Os03g016740,-5.176955e-01, 2.204261e+00, 3.655812e+00,8.450756e-02,0.2755930438,Not_significant,4.694307e+00,6.157835e+00,3.939757e+00,6.833276e+00,4.250101e+00,3.220055e+00,4.338196e+00,3.137380e+00
13673,AGIS_Os03g016750,-6.800694e-01, 4.360951e+00, 1.262059e+01,5.454337e-03,0.0577230007,Not_significant,1.649911e+01,3.424768e+01,2.297858e+01,2.847538e+01,1.494699e+01,1.348398e+01,1.738667e+01,1.604951e+01
13674,AGIS_Os03g016760,-6.075678e-01,-2.313124e+00, 2.687272e-01,6.153060e-01,0.7932287272,Not_significant,1.610792e-01,1.012247e-01,2.399852e-01,2.447741e-01,2.387697e-02,2.195492e-01,1.016765e-01,2.049545e-01
13675,AGIS_Os03g016770, 1.302140e+00,-1.307295e+00, 1.328961e+00,2.754335e-01,0.5255704934,Not_significant,9.204523e-02,2.193201e-01,3.999753e-02,6.527309e-01,2.626467e-01,1.134338e+00,3.389215e-01,1.734230e-01
13676,AGIS_Os03g016780, 3.717244e-01, 3.303961e+00, 4.168081e+00,6.806972e-02,0.2448901234,Not_significant,8.767308e+00,7.085728e+00,7.799519e+00,1.064767e+01,1.427843e+01,1.035540e+01,1.026932e+01,9.522502e+00
13677,AGIS_Os03g016790, 9.508671e-02, 4.977842e+00, 4.670643e-01,5.096502e-01,0.7229176186,Not_significant,2.977663e+01,3.426455e+01,2.903821e+01,2.823061e+01,4.054310e+01,2.887072e+01,2.923198e+01,3.184678e+01
13679,AGIS_Os03g016810,-1.278779e-01, 3.173538e+00, 6.220075e-01,4.483429e-01,0.6763595795,Not_significant,8.790320e+00,8.823418e+00,9.839393e+00,1.007653e+01,7.974909e+00,9.458912e+00,8.540823e+00,8.371603e+00
13681,AGIS_Os03g016830,-4.366670e-01, 1.403083e+00, 1.535762e+00,2.431575e-01,0.4925067016,Not_significant,4.395160e+00,1.940140e+00,2.879822e+00,2.916891e+00,1.575880e+00,2.707774e+00,1.965745e+00,2.490985e+00
13682,AGIS_Os03g016840, 1.725064e+00, 2.251524e+00, 2.007628e+01,1.487052e-03,0.0261373866,UP,3.451696e-01,6.900149e+00,1.319919e+00,2.610923e+00,3.008499e+00,1.097746e+01,6.608970e+00,5.927915e+00
13683,AGIS_Os03g016850, 1.582207e-01, 2.607377e+00, 7.002787e-01,4.219676e-01,0.6560939297,Not_significant,3.980956e+00,6.579604e+00,7.699525e+00,4.548718e+00,4.035208e+00,7.153645e+00,8.879744e+00,5.533772e+00
13684,AGIS_Os03g016860, 7.228484e-01, 9.986625e-01, 4.917477e+00,5.054276e-02,0.2071925582,Not_significant,1.242611e+00,1.518370e+00,1.919882e+00,1.081085e+00,1.504249e+00,2.195492e+00,3.999274e+00,2.175671e+00
13690,AGIS_Os03g016920, 8.933783e-01,-1.762735e-01, 2.251022e+00,1.639939e-01,0.3983289614,Not_significant,5.062488e-01,4.723818e-01,7.799519e-01,5.303438e-01,1.241603e+00,1.152633e+00,4.744901e-01,1.608105e+00
13692,AGIS_Os03g016940,-4.180292e-01, 2.362062e+00, 2.497836e+00,1.446531e-01,0.3717463119,Not_significant,4.878397e+00,6.377155e+00,4.959694e+00,6.874072e+00,3.987455e+00,3.073689e+00,6.439509e+00,4.225216e+00
13693,AGIS_Os03g016950, 3.871757e-01, 3.193289e+00, 2.585161e+00,1.393552e-01,0.3647547462,Not_significant,5.430669e+00,7.305048e+00,7.659528e+00,1.093324e+01,6.972076e+00,1.282533e+01,1.414997e+01,7.567551e+00
13695,AGIS_Os03g016970, 3.067346e+00,-1.669579e+00, 5.682044e+00,3.803986e-02,0.1760372090,Not_significant,1.840905e-01,1.687078e-01,0.000000e+00,0.000000e+00,5.730474e-01,4.756900e-01,4.744901e-01,3.310804e-01
13697,AGIS_Os03g016990, 1.609149e-01, 6.323678e+00, 1.606758e+00,2.332737e-01,0.4813228145,Not_significant,7.846856e+01,6.834353e+01,7.647528e+01,7.855208e+01,9.409915e+01,9.182646e+01,7.417298e+01,7.854487e+01
13698,AGIS_Os03g017000, 7.216892e-01, 5.712749e+00, 3.229800e+01,1.923981e-04,0.0077902177,Not_significant,3.886610e+01,4.269995e+01,3.723770e+01,3.885788e+01,7.855524e+01,6.246175e+01,6.371725e+01,5.686699e+01
13699,AGIS_Os03g017010,-4.753092e-01, 2.022683e+00, 4.367491e+00,6.275702e-02,0.2343075224,Not_significant,4.418171e+00,3.981504e+00,4.519721e+00,5.874578e+00,3.199514e+00,3.037097e+00,3.728137e+00,3.452695e+00
13700,AGIS_Os03g017020, 1.170828e+00, 2.451787e-02, 8.484736e-01,3.857195e-01,0.6260044872,Not_significant,6.443166e-01,3.374156e-01,0.000000e+00,5.303438e-01,5.634966e+00,1.463661e-01,5.083823e-01,2.207202e-01
13701,AGIS_Os03g017030, 9.570941e-01,-1.885722e+00, 7.858821e-01,3.958799e-01,0.6350270298,Not_significant,2.301131e-02,2.361909e-01,1.199926e-01,2.855698e-01,1.432618e-01,4.390984e-01,4.405980e-01,1.418916e-01
