GeneID	pho2mycLP_1	pho2mycLP_2	pho2mycLP_3	pho2mycLP_4	pho2mycHP_1	pho2mycHP_2	pho2mycHP_3	pho2mycHP_4
AGIS_Os01g003660	0	0	0	0	0	0	0	0
AGIS_Os01g003670	0	0	0	0	0	0	0	0
AGIS_Os01g003680	0	0	0	0	0	0	0	0
AGIS_Os01g003690	70	61	18	48	1190	208	88	562
AGIS_Os01g003700	2859	3720	2929	2991	2471	3752	3687	4055
AGIS_Os01g003710	0	0	0	0	0	0	0	0
AGIS_Os01g003720	20	29	32	56	6	18	21	29
AGIS_Os01g003730	0	0	0	0	0	0	0	0
AGIS_Os01g003740	88	237	85	104	45	46	110	140
AGIS_Os01g003750	373	368	266	253	152	175	161	266
AGIS_Os01g003760	411	565	526	553	377	563	808	627
AGIS_Os01g003770	174	230	214	140	125	134	256	196
AGIS_Os01g003780	212	234	233	156	126	244	230	196
AGIS_Os01g003790	11050	12216	10870	9375	8221	11876	11775	9916
AGIS_Os01g003800	710	1020	965	844	1186	1552	1350	1614
AGIS_Os01g003810	2305	3325	2423	3235	1436	2192	2610	3003
AGIS_Os01g003820	0	0	0	0	0	0	0	0
AGIS_Os01g003830	0	0	0	0	0	0	0	0
AGIS_Os01g003840	0	0	0	0	0	0	0	0
AGIS_Os01g003850	72	223	224	155	198	208	172	202
AGIS_Os01g003860	0	0	0	0	0	0	0	0
AGIS_Os01g003870	585	665	796	623	563	1095	971	1046
AGIS_Os01g003880	0	0	0	0	0	0	0	0
AGIS_Os01g003890	0	0	0	0	0	0	0	0
AGIS_Os01g003900	0	0	0	0	0	0	0	0
AGIS_Os01g003910	0	6	0	8	0	2	18	8
AGIS_Os01g003920	311	503	382	434	389	487	559	532
AGIS_Os01g003930	2028	1651	2116	1953	2142	2526	2227	2425
AGIS_Os01g003940	472	699	601	562	664	828	931	867
AGIS_Os01g003950	101	453	104	117	50	102	89	52
AGIS_Os01g003960	162	429	215	268	235	324	254	510
AGIS_Os01g003970	56	105	89	64	84	112	74	197
AGIS_Os01g003980	83	56	107	74	51	57	71	104
AGIS_Os01g003990	34	0	0	0	2	2	14	6
AGIS_Os01g004000	161	237	191	111	149	209	133	134
AGIS_Os01g004010	237	389	220	279	162	515	287	368
AGIS_Os01g004020	20	0	39	28	49	43	35	16
AGIS_Os01g004030	0	0	0	0	0	0	0	0
AGIS_Os01g004040	0	16	0	8	8	0	1	7
AGIS_Os01g004050	222	344	375	197	238	333	219	270
AGIS_Os01g004060	0	0	0	0	0	0	0	0
AGIS_Os01g004070	0	4	0	0	0	0	0	0
AGIS_Os01g004080	0	6	24	21	28	15	9	62
AGIS_Os01g004090	0	0	0	0	0	0	0	0
AGIS_Os01g004100	6	6	10	0	0	4	2	12
AGIS_Os01g004110	0	0	0	0	0	0	0	0
AGIS_Os01g004120	4	16	0	0	16	13	9	16
AGIS_Os01g004130	582	566	500	408	451	510	384	642
AGIS_Os01g004140	0	0	0	0	0	0	0	0
AGIS_Os01g004150	0	0	4	2	0	0	0	0
AGIS_Os01g004160	0	0	0	0	0	0	0	0
AGIS_Os01g004170	0	0	0	0	0	0	0	0
AGIS_Os01g004180	51	200	120	68	41	64	103	112
AGIS_Os01g004190	0	0	0	0	0	10	0	10
AGIS_Os01g004200	0	0	0	0	0	0	0	0
AGIS_Os01g004210	8	4	13	10	0	0	8	8
AGIS_Os01g004220	0	35	28	0	6	16	6	12
AGIS_Os01g004230	0	0	0	1	6	0	0	0
AGIS_Os01g004240	12	8	6	0	0	0	0	14
AGIS_Os01g004250	2	0	10	0	0	1	0	8
AGIS_Os01g004260	1750	1656	1823	1623	1432	1925	1945	2282
AGIS_Os01g004270	241	289	178	208	117	285	170	363
AGIS_Os01g004280	55	42	3	16	0	0	18	34
AGIS_Os01g004290	6	0	4	2	6	2	0	0
AGIS_Os01g004300	0	8	0	3	4	10	16	10
AGIS_Os01g004310	1108	1346	1250	1124	814	1386	1251	1334
AGIS_Os01g004320	0	0	0	0	0	2	0	1
AGIS_Os01g004330	9244	9530	9023	7832	12474	13554	11148	10463
AGIS_Os01g004340	3114	4569	3016	3507	2531	2505	3601	4219
AGIS_Os01g004350	244	560	225	271	186	168	182	432
AGIS_Os01g004360	0	0	0	0	0	0	0	0
AGIS_Os01g004370	1398	1681	1548	1351	1101	1851	1649	1890
AGIS_Os01g004380	881	1072	1027	969	966	1030	962	1443
AGIS_Os01g004390	0	0	0	0	0	0	0	0
AGIS_Os01g004400	984	1011	1254	961	1116	1345	1558	1405
AGIS_Os01g004410	0	0	0	0	0	0	0	0
AGIS_Os01g004420	0	0	0	0	0	0	0	0
AGIS_Os01g004430	0	0	0	0	0	0	0	0
AGIS_Os01g004440	0	0	0	0	0	0	0	0
AGIS_Os01g004450	56	86	74	60	3	32	22	40
AGIS_Os01g004460	1382	1158	1189	1212	1300	1650	1742	1269
AGIS_Os01g004470	120	260	194	178	138	156	164	270
AGIS_Os01g004480	961	1164	1089	964	1030	1549	1677	1406
AGIS_Os01g004490	67	146	81	62	94	28	91	132
AGIS_Os01g004500	1067	465	457	670	1060	840	1035	1696
AGIS_Os01g004510	148	360	303	301	267	257	283	341
AGIS_Os01g004520	1834	2097	1987	1899	2062	2729	3208	2521
AGIS_Os01g004530	100	192	46	103	95	122	111	123
