GeneID	HPmycWT_1	HPmycWT_2	HPmycWT_3	HPmycWT_4	HPmycpho2_1	HPmycpho2_2	HPmycpho2_3	HPmycpho2_4
AGIS_Os01g002890	0	0	0	0	0	0	0	0
AGIS_Os01g002900	2588	1083	883	1513	930	1447	1309	1430
AGIS_Os01g002910	22621	8193	9590	11441	7083	9100	10211	10240
AGIS_Os01g002920	458	120	196	142	212	157	167	343
AGIS_Os01g002930	20	6	2	0	1	0	7	0
AGIS_Os01g002940	793	904	1450	224	2444	783	1007	2329
AGIS_Os01g002950	0	1	6	0	2	0	4	0
AGIS_Os01g002960	40	18	6	15	14	12	10	0
AGIS_Os01g002970	0	0	0	0	0	0	0	12
AGIS_Os01g002980	586	215	206	352	148	142	190	198
AGIS_Os01g002990	249	208	187	175	120	159	128	151
AGIS_Os01g003000	8064	2530	2136	4823	1849	1933	2190	2349
AGIS_Os01g003010	108	41	76	28	27	36	4	24
AGIS_Os01g003020	0	0	0	0	0	0	0	0
AGIS_Os01g003030	0	0	0	0	0	0	0	0
AGIS_Os01g003040	122	131	138	269	177	222	236	201
AGIS_Os01g003050	207	142	96	71	77	141	94	120
AGIS_Os01g003060	0	0	0	0	0	0	0	0
AGIS_Os01g003070	3556	2005	2260	2337	3278	4927	5073	5203
AGIS_Os01g003080	410	373	415	521	355	468	457	674
AGIS_Os01g003090	14	68	2	12	9	14	7	6
AGIS_Os01g003100	0	18	1	10	0	12	6	8
AGIS_Os01g003110	162	140	73	140	84	132	138	70
AGIS_Os01g003120	103	70	100	144	101	149	99	196
AGIS_Os01g003130	1855	1300	954	1827	993	1882	2195	2160
AGIS_Os01g003140	0	0	0	0	0	0	0	0
AGIS_Os01g003150	1173	863	843	798	1848	2023	1770	2012
AGIS_Os01g003160	6	20	20	11	10	31	26	17
AGIS_Os01g003170	2411	1226	652	1296	1269	2097	2403	2037
AGIS_Os01g003180	0	2	0	0	0	0	0	0
AGIS_Os01g003190	0	0	0	0	0	0	0	0
AGIS_Os01g003200	0	0	0	0	0	3	0	0
AGIS_Os01g003210	34	38	28	60	37	56	59	78
AGIS_Os01g003220	719	483	185	254	678	1857	1717	1353
AGIS_Os01g003230	0	0	0	0	0	0	0	0
AGIS_Os01g003240	2812	1132	897	2038	1074	976	974	1303
AGIS_Os01g003250	0	0	0	14	0	0	1	4
AGIS_Os01g003260	42	8	19	24	30	24	9	16
AGIS_Os01g003270	16	20	1	4	2	0	0	8
AGIS_Os01g003280	408	120	65	86	242	661	588	476
AGIS_Os01g003290	1163	1186	1177	1644	1137	969	1002	1487
AGIS_Os01g003300	1869	755	491	948	534	609	638	627
AGIS_Os01g003310	0	4	8	0	0	16	36	10
AGIS_Os01g003320	1229	611	470	845	476	383	595	711
AGIS_Os01g003330	48	36	54	34	11	36	7	34
AGIS_Os01g003340	0	0	0	0	0	12	6	0
AGIS_Os01g003350	66	15	20	4	8	12	30	18
AGIS_Os01g003360	0	6	18	0	38	33	10	21
AGIS_Os01g003370	14	14	32	56	18	48	45	40
AGIS_Os01g003380	0	0	0	0	0	0	0	0
AGIS_Os01g003390	0	0	24	8	8	24	21	22
AGIS_Os01g003400	0	0	0	0	0	20	6	8
AGIS_Os01g003410	0	0	0	0	0	10	0	0
AGIS_Os01g003420	1	10	5	5	0	0	4	13
AGIS_Os01g003430	0	0	0	0	0	0	11	0
AGIS_Os01g003440	92	16	51	40	122	163	175	128
AGIS_Os01g003450	983	637	576	886	1155	930	908	1243
AGIS_Os01g003460	8	32	26	22	53	72	82	66
AGIS_Os01g003470	70	50	24	26	4	46	52	12
AGIS_Os01g003480	0	0	0	0	0	0	0	0
AGIS_Os01g003490	276	74	103	56	1260	872	668	1203
AGIS_Os01g003500	2415	1108	2180	1633	3052	4654	5635	6007
AGIS_Os01g003510	70	43	10	35	20	101	77	43
AGIS_Os01g003520	14846	7291	7616	12477	6487	6876	8217	7796
AGIS_Os01g003530	0	16	24	52	38	70	19	89
AGIS_Os01g003540	266	126	156	141	134	146	122	147
AGIS_Os01g003550	0	0	0	0	0	0	0	0
AGIS_Os01g003560	174	44	30	94	92	85	95	48
AGIS_Os01g003570	0	6	0	0	0	1	0	0
AGIS_Os01g003580	1035	288	350	458	166	335	612	222
AGIS_Os01g003590	132	258	196	204	117	218	445	234
AGIS_Os01g003600	9322	4378	4093	4821	2886	4774	4860	4501
AGIS_Os01g003610	0	0	0	0	0	0	0	0
AGIS_Os01g003620	51	26	14	16	7	0	0	0
AGIS_Os01g003630	0	0	0	0	0	0	0	0
AGIS_Os01g003640	0	0	0	0	0	0	0	0
AGIS_Os01g003650	0	0	0	0	0	0	0	0
AGIS_Os01g003660	0	0	0	0	0	0	0	0
AGIS_Os01g003670	0	0	0	0	0	0	0	0
AGIS_Os01g003680	0	0	0	0	0	0	0	0
AGIS_Os01g003690	199	133	338	201	1190	208	88	562
AGIS_Os01g003700	3669	3500	2843	4321	2471	3752	3687	4055
AGIS_Os01g003710	0	0	0	0	0	0	0	0
AGIS_Os01g003720	0	50	46	65	6	18	21	29
AGIS_Os01g003730	0	0	0	0	0	0	0	0
AGIS_Os01g003740	64	28	29	21	45	46	110	140
AGIS_Os01g003750	219	264	189	244	152	175	161	266
AGIS_Os01g003760	1018	452	496	914	377	563	808	627
AGIS_Os01g003770	361	203	189	300	125	134	256	196
AGIS_Os01g003780	407	294	165	211	126	244	230	196
AGIS_Os01g003790	2256	1168	997	999	8221	11876	11775	9916
AGIS_Os01g003800	3138	2136	1427	2641	1186	1552	1350	1614
AGIS_Os01g003810	5264	2092	1958	3767	1436	2192	2610	3003
AGIS_Os01g003820	0	0	0	0	0	0	0	0
AGIS_Os01g003830	0	0	0	0	0	0	0	0
AGIS_Os01g003840	0	0	0	0	0	0	0	0
