,genes,logFC,logCPM,F,PValue,FDR,change,CPM.pho2LPmock_1,CPM.pho2LPmock_2,CPM.pho2LPmock_3,CPM.pho2LPmock_4,CPM.pho2LPmyc_1,CPM.pho2LPmyc_2,CPM.pho2LPmyc_3,CPM.pho2LPmyc_4
2899,AGIS_Os01g028990, 1.287007e-01, 3.7803275053,3.025104e-01,5.988080e-01,7.641359e-01,Not_significant,1.521366e+01,1.243562e+01,1.196573e+01,1.233897e+01,1.140594e+01,1.661038e+01,1.673429e+01,1.251484e+01
2900,AGIS_Os01g029000, 7.543636e-01, 3.3343221221,7.636799e+00,2.698971e-02,1.255720e-01,Not_significant,7.840169e+00,9.765396e+00,4.431752e+00,8.299166e+00,1.047695e+01,1.234349e+01,1.229925e+01,1.455429e+01
2901,AGIS_Os01g029010, 1.888978e-01, 2.4355259364,4.607712e-01,5.182211e-01,7.069556e-01,Not_significant,4.106755e+00,4.653822e+00,7.654845e+00,3.732429e+00,5.109448e+00,5.638386e+00,7.224094e+00,4.449719e+00
2902,AGIS_Os01g029020, 1.892009e-01, 4.4223773957,1.113815e+00,3.249612e-01,5.459589e-01,Not_significant,1.820039e+01,1.934006e+01,2.244078e+01,1.984774e+01,2.570207e+01,2.163921e+01,2.208378e+01,2.159968e+01
2904,AGIS_Os01g029040, 6.824613e-02, 2.0483255298,4.655834e-02,8.350761e-01,9.130299e-01,Not_significant,4.293426e+00,3.738316e+00,4.109443e+00,3.556785e+00,3.870794e+00,3.504942e+00,5.623820e+00,3.708099e+00
2905,AGIS_Os01g029050,-6.176752e-01, 6.8747803922,1.174892e+01,1.043885e-02,6.944470e-02,Not_significant,2.074378e+02,1.232118e+02,1.062412e+02,1.366947e+02,1.012600e+02,7.337521e+01,9.587927e+01,9.409302e+01
2913,AGIS_Os01g029130, 4.629740e-01, 4.9768437843,9.906691e-01,3.516287e-01,5.709231e-01,Not_significant,5.973462e+00,3.307265e+01,4.306857e+01,3.328449e+01,3.086313e+01,4.838344e+01,2.839343e+01,2.813520e+01
2914,AGIS_Os01g029140,-6.916282e-01, 4.2543434309,6.471948e+00,3.733797e-02,1.537132e-01,Not_significant,2.664724e+01,3.559029e+01,1.869394e+01,1.343674e+01,2.136678e+01,1.409596e+01,8.641480e+00,1.348821e+01
2921,AGIS_Os01g029210, 1.118273e+00, 0.4893190267,2.654132e+00,1.457159e-01,3.429735e-01,Not_significant,4.666767e-01,7.247755e-01,1.208660e+00,6.586640e-01,2.890193e+00,1.257208e+00,2.789049e+00,6.025662e-01
2922,AGIS_Os01g029220, 7.188050e-01, 3.6956749630,7.169319e+00,3.063791e-02,1.361001e-01,Not_significant,5.366783e+00,1.247377e+01,1.244919e+01,9.440850e+00,1.537995e+01,2.026771e+01,1.458535e+01,1.297835e+01
2923,AGIS_Os01g029230, 3.141497e-01, 4.0770116038,5.077565e-01,4.983957e-01,6.915092e-01,Not_significant,4.620100e+00,2.048444e+01,2.006375e+01,1.510536e+01,1.517351e+01,3.569708e+01,9.601644e+00,1.348821e+01
2924,AGIS_Os01g029240, 8.030209e-01, 4.0427730753,4.246936e+00,7.688623e-02,2.386758e-01,Not_significant,3.313405e+00,1.571618e+01,1.796874e+01,1.312937e+01,1.414130e+01,3.596376e+01,1.499685e+01,1.585213e+01
2925,AGIS_Os01g029250, 1.022144e+00,-0.3709116081,1.312069e+00,2.882564e-01,5.091964e-01,Not_significant,6.066798e-01,5.340451e-01,2.417319e-01,2.634656e-01,6.193270e-01,6.857496e-01,2.103217e+00,4.635124e-01
2928,AGIS_Os01g029280,-7.487529e-01, 3.0295051982,7.490811e+00,2.795810e-02,1.282314e-01,Not_significant,4.433429e+00,1.270264e+01,1.680037e+01,7.728324e+00,3.509520e+00,6.895593e+00,6.812595e+00,5.654852e+00
2932,AGIS_Os01g029320, 2.321906e-01, 6.2074476389,8.418850e-01,3.883593e-01,6.022917e-01,Not_significant,3.052066e+01,7.999233e+01,9.238189e+01,7.912750e+01,6.869369e+01,8.381384e+01,7.086928e+01,8.505453e+01
2936,AGIS_Os01g029360, 1.851385e+00, 4.0961710686,6.345452e+01,7.710424e-05,2.904535e-03,UP,4.806771e+00,7.896238e+00,7.977154e+00,9.309117e+00,2.714717e+01,2.449650e+01,2.386694e+01,3.068452e+01
2937,AGIS_Os01g029370,-7.562394e-02, 5.3599529528,2.184912e-01,6.538478e-01,8.013439e-01,Not_significant,5.716790e+01,3.307265e+01,4.234338e+01,3.719256e+01,4.438510e+01,3.859246e+01,3.836085e+01,3.675654e+01
2938,AGIS_Os01g029380,-1.158288e+00, 7.1820425850,6.873673e+01,5.762454e-05,2.353173e-03,DOWN,2.182647e+02,1.563989e+02,2.197343e+02,2.079622e+02,8.846054e+01,7.345140e+01,9.638222e+01,1.003504e+02
