,genes,logFC,logCPM,F,PValue,FDR,change,CPM.WTmockLP_1,CPM.WTmockLP_2,CPM.WTmockLP_3,CPM.WTmockLP_4,CPM.WTmockHP_1,CPM.WTmockHP_2,CPM.WTmockHP_3,CPM.WTmockHP_4
26440,AGIS_Os05g034770, 2.030986e-01, 5.8671613760, 7.531147e-01,4.100296e-01,0.7143590690,Not_significant,5.568656e+01,4.432974e+01,5.409120e+01,6.138009e+01,7.456466e+01,5.746260e+01,7.419577e+01,4.498289e+01
26442,AGIS_Os05g034790, 5.253618e-01, 1.5012224575, 1.815357e+00,2.135926e-01,0.5542344625,Not_significant,3.212235e+00,2.164157e+00,2.215999e+00,1.641492e+00,3.160577e+00,3.896289e+00,2.423259e+00,3.643474e+00
26443,AGIS_Os05g034800,-3.191576e-02,-1.9243227354, 2.698157e-04,9.872879e-01,0.9954298057,Not_significant,2.813637e-01,3.193018e-01,2.379596e-01,0.000000e+00,1.247596e-01,0.000000e+00,4.846517e-01,3.821826e-01
26444,AGIS_Os05g034810,-9.916208e-02, 0.3139104167, 2.160124e-02,8.867050e-01,0.9564438218,Not_significant,1.641288e+00,1.543292e+00,8.328587e-01,8.598293e-01,4.574519e-01,1.227178e+00,1.167570e+00,1.923653e+00
26445,AGIS_Os05g034820, 1.136551e-01, 2.3925021907, 1.566127e-02,9.034283e-01,0.9632383290,Not_significant,6.518258e+00,2.518937e+00,5.086387e+00,4.045106e+00,3.326923e-01,6.810837e+00,6.476709e+00,9.911269e+00
26446,AGIS_Os05g034830,-1.531345e+00,-0.7999356955, 1.638247e+00,2.355734e-01,0.5745955899,Not_significant,3.985985e-01,1.028861e+00,9.964559e-01,3.908315e-01,1.081250e+00,1.227178e-01,1.321777e-01,1.656125e-01
26447,AGIS_Os05g034840, 1.871425e-01, 0.5511453656, 1.555143e-01,7.032886e-01,0.8760793186,Not_significant,7.268562e-01,2.004506e+00,1.398013e+00,1.328827e+00,1.081250e+00,1.840767e+00,1.475985e+00,1.566949e+00
26453,AGIS_Os05g034900, 9.330596e-01, 4.5010082799, 3.746044e+00,8.814807e-02,0.3958194216,Not_significant,9.425683e+00,1.115783e+01,1.781723e+01,1.680576e+01,5.664086e+01,1.714981e+01,4.141569e+01,1.048454e+01
26456,AGIS_Os05g034930, 5.724334e-01, 6.4172992693, 7.530450e+00,2.449902e-02,0.2238382805,Not_significant,6.140762e+01,7.296047e+01,7.491266e+01,6.403774e+01,1.056298e+02,9.878781e+01,1.254146e+02,8.030931e+01
26459,AGIS_Os05g034960, 1.440823e+00, 1.9776935077, 8.516700e+00,1.887419e-02,0.1946550063,Not_significant,8.206440e-01,3.033367e+00,3.212455e+00,1.758742e+00,4.907211e+00,3.896289e+00,4.758399e+00,8.802940e+00
