,genes,logFC,logCPM,F,PValue,FDR,change,CPM.LPmockWT_1,CPM.LPmockWT_2,CPM.LPmockWT_3,CPM.LPmockWT_4,CPM.LPmockpho2_1,CPM.LPmockpho2_2,CPM.LPmockpho2_3,CPM.LPmockpho2_4
49916,AGIS_Os11g008600, 1.133893e+00,-0.6933398146, 2.316250e+00,1.689052e-01,0.598157957,Not_significant,4.690554e-01,8.894629e-02,2.678867e-01,8.657825e-01,5.850162e-01,6.758930e-01,6.928691e-01,1.016352e+00
49917,AGIS_Os11g008610,-7.765235e-01,-1.9020826970, 4.373653e-01,5.281582e-01,0.822077636,Not_significant,3.752444e-01,1.423141e-01,1.190607e-01,3.935375e-01,1.253606e-01,1.689732e-02,4.796786e-01,2.109410e-01
49918,AGIS_Os11g008620,-1.357203e-01, 1.5178168784, 2.061234e-01,6.626378e-01,0.886464725,Not_significant,2.861238e+00,2.472707e+00,3.274170e+00,3.246684e+00,2.548999e+00,2.973929e+00,2.451691e+00,2.780586e+00
49930,AGIS_Os11g008740, 1.903191e+00,-1.2048124774, 1.173417e+00,3.124725e-01,0.704042776,Not_significant,3.752444e-01,3.557851e-02,0.000000e+00,6.099831e-01,2.925081e-01,6.927903e-01,8.882937e-01,2.876469e-01
49932,AGIS_Os11g008760, 1.343121e-01, 1.7804478509, 1.645923e-01,6.962808e-01,0.899018077,Not_significant,3.588274e+00,4.251632e+00,1.875207e+00,3.384422e+00,2.590786e+00,4.579175e+00,3.659770e+00,3.259998e+00
49934,AGIS_Os11g008780, 9.094805e-02,-0.1328900261, 1.229821e-02,9.146235e-01,0.977293615,Not_significant,1.149186e+00,7.827273e-01,2.381215e-01,1.219966e+00,2.507212e-01,1.622143e+00,9.771231e-01,7.670583e-01
49941,AGIS_Os11g008850, 1.582541e-01, 4.4855155587, 7.802413e-01,4.044197e-01,0.757759718,Not_significant,2.359349e+01,1.691758e+01,2.129699e+01,2.288420e+01,2.116505e+01,2.259172e+01,2.274032e+01,2.772916e+01
49943,AGIS_Os11g008870, 5.783885e-01, 1.0710409464, 1.122807e+00,3.224201e-01,0.710161683,Not_significant,2.228013e+00,2.490496e+00,8.185426e-01,1.062551e+00,1.044672e+00,3.632925e+00,3.464345e+00,1.764234e+00
49944,AGIS_Os11g008880,-1.730174e-01, 1.2367967510, 9.093521e-02,7.712270e-01,0.926939213,Not_significant,2.462541e+00,2.668389e+00,2.187741e+00,1.593827e+00,4.596556e-01,3.430157e+00,4.050619e+00,1.687528e+00
49945,AGIS_Os11g008890, 7.997798e-01, 2.4146764220, 1.174954e+00,3.121775e-01,0.703835719,Not_significant,3.705538e+00,2.170289e+00,3.705765e+00,3.266361e+00,7.521636e-01,1.002011e+01,1.332441e+01,5.388585e+00
49947,AGIS_Os11g008910,-3.509127e-01, 1.6657883551, 1.011731e+00,3.458316e-01,0.724856322,Not_significant,2.814333e+00,4.731942e+00,2.976518e+00,3.364746e+00,4.283154e+00,2.703572e+00,2.220734e+00,1.994352e+00
49948,AGIS_Os11g008920, 2.902486e-01, 0.4170130640, 3.502187e-01,5.713781e-01,0.843999637,Not_significant,1.547883e+00,3.202066e-01,1.160842e+00,1.692211e+00,2.674360e+00,6.083037e-01,1.563397e+00,8.437642e-01
49951,AGIS_Os11g008950, 9.955653e-02, 0.6905890238, 3.829471e-02,8.500780e-01,0.954929074,Not_significant,1.665147e+00,4.980992e-01,2.574688e+00,1.613504e+00,8.566308e-01,1.419375e+00,1.847651e+00,2.128587e+00
49952,AGIS_Os11g008960, 3.480221e-02, 4.7708335799, 4.174437e-02,8.435282e-01,0.952427765,Not_significant,2.760391e+01,2.506506e+01,2.634219e+01,2.847244e+01,2.321261e+01,2.705262e+01,2.888731e+01,3.146857e+01
49953,AGIS_Os11g008970, 2.541180e-01, 4.6419702872, 1.658228e+00,2.361370e-01,0.648617339,Not_significant,2.596222e+01,2.004849e+01,2.187741e+01,2.288420e+01,2.149934e+01,2.776230e+01,3.139230e+01,2.801681e+01
