,gene,E_1,E_2,E_3,ppJ2_1,ppJ2_2,ppJ2_3,pJ2_1,pJ2_2,pJ2_3,J3_1,J3_2,J3_3,J4_1,J4_2,J4_3,RF_1,RF_2,RF_3,RM_1,RM_2,RM_3,cluster,membership
12,Hg_chrom1_TN10gene_1616,-1.36070054653427,-1.27550986378982,-1.30227496815147,-1.08370752655869,-1.03743790448051,-1.03003031327414,-0.649414664792175,-0.657184867422988,-0.626218784121208,0.419201633221163,0.136295329574362,0.175953481273624,1.37593843141797,1.60936118680645,1.36510767195962,0.323179664924393,0.297967503353747,0.177990053699507,0.724586314965287,1.32144563369097,1.09545253423819,1,0.611096644901447
13,Hg_chrom1_TN10gene_1661,-1.42189570247596,-1.18345621832686,-1.32594047272572,-0.981275706151786,-0.940408245471442,-0.714836141909881,-0.971799896013781,-0.855177497261361,-0.919189681490911,0.136439952996013,-0.0494742041680121,0.0523586389491646,0.744312842600295,1.14062226233708,0.826029978501868,1.18089199477537,1.05668181062366,1.01734705685463,0.598624797770054,1.49030845835783,1.11983597222975,1,0.99518124998785
14,Hg_chrom1_TN10gene_1672,-1.54105280758726,-1.52288081717687,-1.55842621446222,-1.4213161961961,-1.32926503496846,-1.1071332987042,-0.154018059529633,-0.0373765964259933,-0.10572266204132,0.477662627255419,0.211327139174434,0.397372546707539,0.689928567299824,1.08152605048492,0.748614152910789,0.648662133615173,0.681547119372552,0.38103979651692,0.852789076512717,1.43773620577127,1.1689862714705,1,0.999989593148978
15,Hg_chrom1_TN10gene_1688,-1.79281619056511,-1.44467818642248,-1.84838270878905,-0.641643029583803,-0.519359033969375,-0.57262607317183,-0.848852735464853,-0.631754998591653,-0.619980483724947,0.336483672946312,-0.0122822680523832,0.0482521936126062,0.779782733186465,0.756566612131391,0.543490671874806,1.26775082895975,1.30320143842273,1.21175530626606,0.901129999492971,0.899240559426087,0.884721692016305,1,0.993475833620446
16,Hg_chrom1_TN10gene_174,-1.57464347981691,-1.69049195560243,-1.55425096196999,-1.00094728191091,-1.17502850145312,-1.37279204459626,0.0783642791759614,0.205010091656164,0.23776348044038,0.455507082158565,0.453876027555327,0.416877209569007,0.928656339755946,0.740922756935619,0.483399299019585,1.42342246351965,1.37413157379998,1.28111254497675,0.252335026532653,-0.0886245425979418,0.125400592851963,1,0.897616574389611
17,Hg_chrom1_TN10gene_1764,-1.22929703410218,-1.26364290873881,-1.25051973633684,-1.34551151748432,-1.33722696814809,-1.07916905775215,-0.425742698716794,-0.412957937132661,-0.544214499103424,0.622297343240083,0.458868023537836,0.452478032518538,1.28465029929802,1.58814936442318,1.31832403500264,0.108732666939899,0.0796367820667836,-0.00487990824362794,0.62687386931324,1.28657057248916,1.06658127692952,1,0.974183719000037
18,Hg_chrom1_TN10gene_1956,-0.603199434345818,-1.36541752498154,-1.12680673538583,-1.06904153839263,-1.38920934699637,-1.05001914113156,-0.38896040642109,-0.911958542981984,-0.422987956056943,1.81110867333841,1.55712786920779,1.40040833498927,-0.446969364692378,0.991641649738036,0.941572637783294,0.14787360541664,0.428940043301215,1.04056807671351,0.185686746027457,0.321705771581052,-0.0520634167105182,1,0.919984989806825
19,Hg_chrom1_TN10gene_1975,-1.19940120191177,-1.36611681040045,-1.1839611226951,-1.14046802125796,-1.16402117862455,-1.11965400185276,-0.572122603741299,-0.466233082925894,-0.355792560318826,0.996546278520216,0.687884974114924,0.631855521704096,1.16119102490626,1.57399927985466,1.08178582107951,-0.170629161193005,-0.308842478709713,-0.338385366830927,0.883390065917346,1.29815903520446,1.07081558916078,1,0.620631578513877
20,Hg_chrom1_TN10gene_2026,-1.24397283048212,-1.23259335155385,-1.85844272256327,-1.12514436678461,-1.12051320739644,-1.31403234537763,-0.249436016386112,-0.1739492654962,-0.20075021840364,1.31033180730408,0.551422914066892,0.941659569529217,1.29382686723709,1.41202693467768,0.964664416051524,0.0694886503652895,-0.00570879117294992,-0.0390234065692201,0.523869353520592,1.05804834024684,0.438227669186828,1,0.999976670025716
21,Hg_chrom1_TN10gene_2028,-1.32827083204104,-1.28659216816765,-1.56837820262053,-0.948507389236422,-1.00088292499474,-1.13242959492719,-0.521823931620499,-0.593624472859507,-0.594923824941261,1.00621335497523,0.541204222496002,0.506346586129194,1.3480423395845,1.41955135037496,1.16043024905044,0.0513711147615635,-0.0718575562139939,0.0669942279812812,0.527920642458583,1.20186007687875,1.21735673293233,1,0.996632361112737
22,Hg_chrom1_TN10gene_204,-1.6910156769383,-1.67230906625499,-1.71883774217218,-0.475273815078805,-0.486553845981711,-0.746368790847744,-0.834795415450764,-0.863614036388061,-0.904949639722441,1.15181015952933,1.15784859182283,1.12168582008231,0.826397687165862,0.831151511913967,0.866410332132341,0.564745785148384,0.429288135676124,0.65426676176255,0.573175695441915,0.438247404228719,0.778690143930673,1,0.999995582559172
23,Hg_chrom1_TN10gene_2087,-1.71782363630197,-1.25858950120356,-1.83761545192167,-0.872731996653275,-1.00256963180682,-0.795254646633606,-0.508992045695264,-0.816824760089582,-0.532841038653676,1.09515769700578,0.507624637969947,0.711106271512849,1.1661486239213,1.55407537545216,0.821133517474836,0.62421576521148,0.56145811703685,0.592933336820419,0.416220826185021,0.667804954624409,0.625363585744377,1,0.999999999237021
24,Hg_chrom1_TN10gene_2088,-1.45950924300566,-1.40346113360011,-1.36506936378179,-0.999418010609024,-1.0091383200174,-0.8503878180245,-0.474614591666038,-0.444194160373062,-0.586464600304088,1.63064863381678,1.08813166524447,1.28555066321034,0.825354340787883,1.03009446180212,0.684446849807532,0.900139703680509,1.03509586237084,0.731428029594873,-0.493353041095101,0.216184880724448,-0.341464808563018,1,0.942068150681231
25,Hg_chrom1_TN10gene_2090,-1.53587296670117,-1.65571999945573,-1.56876565189289,-1.21540215687847,-0.87076082286668,-0.610003915486886,-0.179696278563432,-0.0745552085773167,-0.473556486539979,0.998597342103424,0.54425484507444,0.995079531859087,0.95699564193126,1.47097640572679,0.990545613773367,-0.245593550698695,-0.109228801967836,-0.275089743990997,0.51014788603022,1.34809189461186,0.999556422509641,1,0.989267646325448
26,Hg_chrom1_TN10gene_2139,-0.493846392997883,-0.991002413709286,-1.16386281558759,-1.59991530690283,-0.924604341402349,-0.570567396951035,-1.3174373531438,-0.875535079917063,-1.3155985747348,1.23222849439756,0.775372776734899,0.300687773469697,0.273529511617792,0.276436904808969,0.38231828695691,0.909900113681214,1.18589331713055,0.922090757428748,0.631989432754038,1.75785527651936,0.604067029846894,1,0.990150105616824
27,Hg_chrom1_TN10gene_2141,-2.03412683056817,-1.54531132158246,-1.6557163951423,-0.582809281863965,-0.858405065466156,-0.561612425229613,-0.572470692073244,-0.591678100826734,-0.422917060772273,0.705062222930597,0.428631566634983,0.0884481577759288,0.76389163697295,1.54911893060438,1.01136345812639,0.74405525871869,0.813782982097125,0.59337869976412,0.0472505821077879,1.20737003119188,0.872693646600075,1,0.99999838844423
28,Hg_chrom1_TN10gene_2144,-1.20200460720631,-1.39365733341631,-1.28201771491244,-1.02749501053843,-1.05408176844851,-1.09571623545077,-0.848449240384684,-0.777547841140205,-0.708732870786778,0.977698122864892,0.576666411920271,0.540536780305992,1.08929770129337,1.4205460974863,1.12523298489859,0.150418534402939,0.159469415313938,0.179540138595363,0.68233631869899,1.44772376612038,1.04023635038342,1,0.997833177921148
