GeneID	HPmockWT_1	HPmockWT_2	HPmockWT_3	HPmockWT_4	HPmockpho2_1	HPmockpho2_2	HPmockpho2_3	HPmockpho2_4
AGIS_Os01g002500	0	0	0	0	0	0	0	0
AGIS_Os01g002510	0	0	0	0	0	0	0	0
AGIS_Os01g002520	0	0	0	0	0	0	0	0
AGIS_Os01g002530	4352	3054	4271	3190	734	2151	2428	4992
AGIS_Os01g002540	2168	3030	2789	1686	486	1038	2049	3197
AGIS_Os01g002550	1271	1160	1556	1325	2342	1485	4124	6342
AGIS_Os01g002560	251	596	393	871	373	548	553	474
AGIS_Os01g002570	0	35	20	80	14	34	0	19
AGIS_Os01g002580	0	0	0	0	0	0	2	0
AGIS_Os01g002590	3191	3078	5810	6480	6081	5939	6934	6000
AGIS_Os01g002600	362	438	357	505	358	485	686	382
AGIS_Os01g002610	79	141	98	216	220	210	74	276
AGIS_Os01g002620	411	348	135	377	572	182	483	271
AGIS_Os01g002630	64	50	49	124	113	387	354	389
AGIS_Os01g002640	0	317	222	784	711	2333	1416	1774
AGIS_Os01g002650	185	191	145	207	211	241	166	367
AGIS_Os01g002660	2520	3178	2840	4229	2715	2405	2881	3247
AGIS_Os01g002670	0	0	0	0	0	0	0	0
AGIS_Os01g002680	0	0	0	0	0	0	0	0
AGIS_Os01g002690	0	0	0	0	0	0	0	0
AGIS_Os01g002700	0	0	0	0	0	0	0	0
AGIS_Os01g002710	19	101	7	126	61	119	26	95
AGIS_Os01g002720	185	970	153	1866	1139	1362	522	1034
AGIS_Os01g002730	0	6	0	0	0	0	0	1
AGIS_Os01g002740	0	0	0	0	0	0	0	0
AGIS_Os01g002750	0	0	0	0	0	0	0	0
AGIS_Os01g002760	235	179	179	158	79	127	173	151
AGIS_Os01g002770	0	0	0	0	0	0	0	0
AGIS_Os01g002780	638	792	398	549	141	253	350	270
AGIS_Os01g002790	1	26	22	12	8	17	24	16
AGIS_Os01g002800	7600	5906	4515	6805	4776	2104	3523	3815
AGIS_Os01g002810	0	0	0	0	0	0	0	0
AGIS_Os01g002820	625	460	270	343	333	309	357	382
AGIS_Os01g002830	943	889	560	604	342	317	738	774
AGIS_Os01g002840	0	0	0	0	0	0	0	0
AGIS_Os01g002850	0	0	0	0	0	0	0	0
AGIS_Os01g002860	186	102	58	143	133	83	126	38
AGIS_Os01g002870	0	0	0	0	0	0	0	1
AGIS_Os01g002880	0	0	0	0	1	0	0	0
AGIS_Os01g002890	0	0	0	0	0	0	0	0
AGIS_Os01g002900	1977	1952	1667	2141	1247	767	1454	980
AGIS_Os01g002910	21744	11206	9903	13086	6131	6513	8268	6867
AGIS_Os01g002920	109	215	166	269	159	117	218	141
AGIS_Os01g002930	0	6	14	2	0	0	19	6
AGIS_Os01g002940	248	1300	883	828	2929	1538	1868	1795
AGIS_Os01g002950	16	0	0	0	0	2	0	4
AGIS_Os01g002960	12	18	38	0	0	0	0	22
AGIS_Os01g002970	20	0	16	0	0	0	0	0
AGIS_Os01g002980	397	338	274	389	218	132	154	208
AGIS_Os01g002990	119	281	133	263	111	113	229	154
AGIS_Os01g003000	6350	4206	3136	5666	1931	1850	2138	3027
AGIS_Os01g003010	20	45	36	68	10	30	64	17
AGIS_Os01g003020	0	0	0	0	0	0	0	0
AGIS_Os01g003030	0	0	0	0	0	0	0	0
AGIS_Os01g003040	55	246	63	326	178	144	217	261
AGIS_Os01g003050	179	188	204	154	65	106	124	275
AGIS_Os01g003060	0	0	0	0	0	0	0	0
