,genes,logFC,logCPM,F,PValue,FDR,change,CPM.WTmycLP_1,CPM.WTmycLP_2,CPM.WTmycLP_3,CPM.WTmycLP_4,CPM.WTmycHP_1,CPM.WTmycHP_2,CPM.WTmycHP_3,CPM.WTmycHP_4
14390,AGIS_Os03g023920,-1.626833e-01, 3.927773e+00, 5.783397e-01,4.664253e-01,7.018387e-01,Not_significant,1.639466e+01,1.895213e+01,1.769201e+01,1.140153e+01,1.475116e+01,1.614021e+01,1.152003e+01,1.458454e+01
14391,AGIS_Os03g023930,-4.195055e-01, 1.759953e+00, 6.641367e-01,4.361438e-01,6.767768e-01,Not_significant,3.569470e+00,3.866001e+00,1.854108e+00,5.409663e+00,1.647338e+00,2.103486e+00,5.868286e+00,2.511689e+00
14395,AGIS_Os03g023970, 1.109787e+00, 2.781835e+00, 1.625762e+01,2.965737e-03,3.106462e-02,UP,6.039045e+00,2.761430e+00,4.245388e+00,4.415061e+00,1.090238e+01,9.344334e+00,6.452949e+00,1.048212e+01
14396,AGIS_Os03g023980,-2.358674e+00,-1.052558e+00, 3.142270e+00,1.100576e-01,3.221834e-01,Not_significant,7.470983e-01,4.069475e-01,9.010620e-01,6.792402e-01,0.000000e+00,8.090332e-02,4.980464e-01,2.511689e-01
14397,AGIS_Os03g023990, 1.199427e-02,-6.256994e-01, 2.326532e-04,9.881632e-01,9.955866e-01,Not_significant,4.980656e-01,8.138950e-01,3.119061e-01,7.762745e-01,5.541045e-01,8.494849e-01,2.598503e-01,8.204851e-01
14399,AGIS_Os03g024010,-2.911422e-01, 4.617730e+00, 1.009203e+00,3.413459e-01,5.957760e-01,Not_significant,2.552586e+01,2.363202e+01,2.548966e+01,2.881919e+01,9.225092e+00,2.222819e+01,3.334745e+01,2.784626e+01
14400,AGIS_Os03g024020,-1.700922e-01, 3.776824e+00, 6.711425e-01,4.338175e-01,6.747989e-01,Not_significant,1.303272e+01,1.796383e+01,1.384516e+01,1.283279e+01,1.503570e+01,1.490644e+01,9.289648e+00,1.244123e+01
14402,AGIS_Os03g024040, 2.232110e+00,-7.856882e-01, 3.388754e+00,9.878799e-02,3.015646e-01,Not_significant,3.320437e-01,8.720304e-02,0.000000e+00,5.822059e-01,1.557483e+00,2.427100e-01,5.630090e-01,8.874635e-01
14403,AGIS_Os03g024050, 7.658504e-01,-1.335203e+00, 2.097633e-01,6.578137e-01,8.302051e-01,Not_significant,1.660219e-01,8.429627e-01,2.079374e-01,0.000000e+00,4.492740e-02,3.842908e-01,8.445134e-01,4.186148e-01
14404,AGIS_Os03g024060, 1.056932e-01, 5.999938e+00, 3.373263e-01,5.756341e-01,7.796714e-01,Not_significant,7.095359e+01,5.537393e+01,6.203465e+01,5.540660e+01,9.013933e+01,7.236802e+01,5.099562e+01,5.436970e+01
14405,AGIS_Os03g024070,-5.602989e-01, 3.235050e+00, 4.836831e-01,5.043243e-01,7.301721e-01,Not_significant,1.035561e+01,6.394889e+00,1.148854e+01,1.098914e+01,3.444434e-01,1.229730e+01,1.065386e+01,1.249147e+01
14406,AGIS_Os03g024080,-7.239646e-01, 6.391870e-01, 2.385100e+00,1.569059e-01,3.951258e-01,Not_significant,3.382695e+00,1.133640e+00,1.888765e+00,1.309963e+00,1.392749e+00,1.213550e+00,1.147672e+00,6.697837e-01
14407,AGIS_Os03g024090,-1.245736e+00, 2.500084e-01, 4.440656e+00,6.436280e-02,2.333970e-01,Not_significant,1.618713e+00,1.802196e+00,1.299609e+00,1.455515e+00,1.617386e+00,4.045166e-01,5.197006e-01,5.023378e-01
14412,AGIS_Os03g024140,-4.195695e-01, 5.037042e+00, 1.680630e+00,2.271041e-01,4.829398e-01,Not_significant,2.924060e+01,3.647994e+01,3.796590e+01,3.553882e+01,8.715915e+00,3.007581e+01,5.404886e+01,3.030771e+01
