GeneID	WTmycLP_1	WTmycLP_2	WTmycLP_3	WTmycLP_4	WTmycHP_1	WTmycHP_2	WTmycHP_3	WTmycHP_4
AGIS_Os01g002620	68	85	159	118	414	204	288	268
AGIS_Os01g002630	988	938	1966	1336	99	137	127	181
AGIS_Os01g002640	1276	897	1904	1028	195	370	339	360
AGIS_Os01g002650	248	124	159	243	361	160	169	150
AGIS_Os01g002660	2390	1589	3030	2426	3876	2834	2696	3287
AGIS_Os01g002670	0	0	0	0	0	0	0	0
AGIS_Os01g002680	0	0	0	0	0	0	0	0
AGIS_Os01g002690	0	0	0	0	0	0	0	0
AGIS_Os01g002700	0	0	0	0	0	0	0	0
AGIS_Os01g002710	17	102	153	128	32	102	129	79
AGIS_Os01g002720	757	874	1593	1009	341	1082	1607	1460
AGIS_Os01g002730	0	0	0	0	0	0	1	0
AGIS_Os01g002740	0	0	0	0	0	0	0	0
AGIS_Os01g002750	0	0	0	0	0	0	0	0
AGIS_Os01g002760	57	57	137	144	362	146	124	109
AGIS_Os01g002770	0	0	0	0	0	0	0	0
AGIS_Os01g002780	125	131	110	158	726	408	309	470
AGIS_Os01g002790	33	8	34	19	58	26	16	40
AGIS_Os01g002800	2202	1655	2614	1617	7795	4149	3058	5231
AGIS_Os01g002810	0	0	0	0	0	0	0	0
AGIS_Os01g002820	241	169	190	197	518	216	267	278
AGIS_Os01g002830	382	122	101	784	1042	495	244	703
AGIS_Os01g002840	0	0	0	0	0	0	0	0
AGIS_Os01g002850	0	0	0	0	0	0	0	0
AGIS_Os01g002860	20	12	44	18	364	20	66	59
AGIS_Os01g002870	0	0	0	0	0	0	0	0
AGIS_Os01g002880	0	0	0	0	0	0	0	0
AGIS_Os01g002890	0	1	0	0	0	0	0	0
AGIS_Os01g002900	1531	1007	1910	1277	2588	1083	883	1513
AGIS_Os01g002910	12120	9230	15769	8265	22621	8193	9590	11441
AGIS_Os01g002920	252	136	261	209	458	120	196	142
AGIS_Os01g002930	22	0	0	16	20	6	2	0
AGIS_Os01g002940	551	503	683	1252	793	904	1450	224
AGIS_Os01g002950	0	4	0	12	0	1	6	0
AGIS_Os01g002960	38	0	0	1	40	18	6	15
AGIS_Os01g002970	0	0	0	0	0	0	0	0
AGIS_Os01g002980	212	116	184	186	586	215	206	352
AGIS_Os01g002990	288	153	232	149	249	208	187	175
AGIS_Os01g003000	2431	1355	2243	1614	8064	2530	2136	4823
AGIS_Os01g003010	31	24	22	8	108	41	76	28
AGIS_Os01g003020	0	0	0	0	0	0	0	0
AGIS_Os01g003030	0	0	0	0	0	0	0	0
AGIS_Os01g003040	78	30	93	57	122	131	138	269
AGIS_Os01g003050	78	28	102	184	207	142	96	71
AGIS_Os01g003060	0	0	0	0	0	0	0	0
AGIS_Os01g003070	4321	2548	5387	3451	3556	2005	2260	2337
AGIS_Os01g003080	726	494	701	468	410	373	415	521
AGIS_Os01g003090	0	10	10	10	14	68	2	12
AGIS_Os01g003100	0	4	0	31	0	18	1	10
AGIS_Os01g003110	104	46	24	114	162	140	73	140
AGIS_Os01g003120	168	77	137	94	103	70	100	144
AGIS_Os01g003130	1973	1261	2483	1468	1855	1300	954	1827
AGIS_Os01g003140	0	0	0	0	0	0	0	0
AGIS_Os01g003150	886	688	722	689	1173	863	843	798
AGIS_Os01g003160	11	26	9	33	6	20	20	11
AGIS_Os01g003170	1323	932	1675	1128	2411	1226	652	1296
AGIS_Os01g003180	0	0	0	0	0	2	0	0
AGIS_Os01g003190	0	0	0	0	0	0	0	0
AGIS_Os01g003200	16	0	0	0	0	0	0	0
AGIS_Os01g003210	20	59	141	16	34	38	28	60
AGIS_Os01g003220	802	1096	870	1207	719	483	185	254
AGIS_Os01g003230	0	0	10	10	0	0	0	0
AGIS_Os01g003240	550	438	725	402	2812	1132	897	2038
AGIS_Os01g003250	56	10	56	8	0	0	0	14
AGIS_Os01g003260	20	9	10	0	42	8	19	24
AGIS_Os01g003270	0	0	4	0	16	20	1	4
AGIS_Os01g003280	887	465	881	544	408	120	65	86
AGIS_Os01g003290	890	832	1247	798	1163	1186	1177	1644
AGIS_Os01g003300	799	462	899	531	1869	755	491	948
AGIS_Os01g003310	0	14	0	0	0	4	8	0
AGIS_Os01g003320	467	397	870	420	1229	611	470	845
AGIS_Os01g003330	16	4	68	35	48	36	54	34
AGIS_Os01g003340	0	0	4	0	0	0	0	0
AGIS_Os01g003350	10	34	20	4	66	15	20	4
AGIS_Os01g003360	37	36	26	9	0	6	18	0
AGIS_Os01g003370	48	26	87	24	14	14	32	56
AGIS_Os01g003380	0	0	0	0	0	0	0	0
AGIS_Os01g003390	20	52	62	3	0	0	24	8
AGIS_Os01g003400	12	5	0	0	0	0	0	0
AGIS_Os01g003410	0	6	0	0	0	0	0	0
AGIS_Os01g003420	12	14	40	9	1	10	5	5
AGIS_Os01g003430	0	6	0	0	0	0	0	0
AGIS_Os01g003440	84	98	142	70	92	16	51	40
AGIS_Os01g003450	474	385	580	302	983	637	576	886
AGIS_Os01g003460	59	70	36	48	8	32	26	22
AGIS_Os01g003470	4	28	21	53	70	50	24	26
AGIS_Os01g003480	0	0	0	0	0	0	0	0
AGIS_Os01g003490	108	56	493	135	276	74	103	56
AGIS_Os01g003500	5291	4921	9215	3761	2415	1108	2180	1633
AGIS_Os01g003510	20	54	5	46	70	43	10	35
AGIS_Os01g003520	3877	4209	7201	5836	14846	7291	7616	12477
AGIS_Os01g003530	22	14	17	9	0	16	24	52
AGIS_Os01g003540	108	85	175	38	266	126	156	141
AGIS_Os01g003550	0	0	0	0	0	0	0	0
AGIS_Os01g003560	32	24	54	34	174	44	30	94
AGIS_Os01g003570	0	0	0	0	0	6	0	0
AGIS_Os01g003580	487	190	354	431	1035	288	350	458
AGIS_Os01g003590	108	38	78	142	132	258	196	204
AGIS_Os01g003600	5332	2835	5173	4072	9322	4378	4093	4821
AGIS_Os01g003610	0	0	0	0	0	0	0	0
AGIS_Os01g003620	34	0	0	0	51	26	14	16
AGIS_Os01g003630	0	0	0	0	0	0	0	0
AGIS_Os01g003640	0	0	0	0	0	0	0	0
AGIS_Os01g003650	0	0	0	0	0	0	0	0
AGIS_Os01g003660	0	0	0	0	0	0	0	0
AGIS_Os01g003670	0	0	0	0	0	0	0	0
AGIS_Os01g003680	0	0	0	0	0	0	0	0
AGIS_Os01g003690	45	52	240	61	199	133	338	201
AGIS_Os01g003700	3402	2527	3708	2473	3669	3500	2843	4321
AGIS_Os01g003710	0	0	0	0	0	0	0	0
AGIS_Os01g003720	16	10	34	38	0	50	46	65
AGIS_Os01g003730	0	0	0	0	0	0	0	0
AGIS_Os01g003740	51	31	49	48	64	28	29	21
AGIS_Os01g003750	202	217	284	180	219	264	189	244
AGIS_Os01g003760	391	340	650	487	1018	452	496	914
AGIS_Os01g003770	137	136	220	125	361	203	189	300
AGIS_Os01g003780	190	201	352	164	407	294	165	211
AGIS_Os01g003790	7707	6426	9808	4811	2256	1168	997	999
AGIS_Os01g003800	1135	672	1197	773	3138	2136	1427	2641
AGIS_Os01g003810	3159	3102	4202	3468	5264	2092	1958	3767
AGIS_Os01g003820	0	0	0	0	0	0	0	0
AGIS_Os01g003830	0	0	0	0	0	0	0	0
AGIS_Os01g003840	0	0	0	0	0	0	0	0
AGIS_Os01g003850	177	159	199	172	292	237	249	267
AGIS_Os01g003860	0	0	0	0	0	0	0	0
AGIS_Os01g003870	1076	473	1098	849	1040	713	626	767
AGIS_Os01g003880	0	0	0	0	0	0	0	0
AGIS_Os01g003890	0	0	0	0	0	0	0	0
AGIS_Os01g003900	0	0	0	0	0	0	0	0
AGIS_Os01g003910	21	2	10	6	46	2	0	23
AGIS_Os01g003920	517	419	590	318	1259	505	469	599
AGIS_Os01g003930	2269	1480	2948	1354	5983	3039	1564	3617
AGIS_Os01g003940	673	366	621	543	1332	1002	816	1068
AGIS_Os01g003950	87	23	40	21	116	40	64	18
AGIS_Os01g003960	463	318	410	250	424	487	419	512
AGIS_Os01g003970	181	125	196	99	154	211	163	188
AGIS_Os01g003980	23	81	56	59	124	64	56	87
AGIS_Os01g003990	22	2	4	0	19	46	0	16
AGIS_Os01g004000	254	181	207	205	217	159	227	198
AGIS_Os01g004010	603	301	497	406	781	404	387	413
AGIS_Os01g004020	8	26	58	55	170	67	40	68
AGIS_Os01g004030	0	0	0	0	0	0	0	0
AGIS_Os01g004040	32	0	2	22	26	6	4	12
AGIS_Os01g004050	381	263	430	261	486	232	251	380
AGIS_Os01g004060	0	0	0	0	0	0	0	0
AGIS_Os01g004070	0	0	0	0	0	0	0	0
AGIS_Os01g004080	6	1	29	12	12	18	26	32
AGIS_Os01g004090	0	0	0	0	0	0	0	0
AGIS_Os01g004100	28	0	8	14	9	8	6	0
AGIS_Os01g004110	0	0	0	0	0	0	0	0
AGIS_Os01g004120	0	0	0	3	10	26	3	4
AGIS_Os01g004130	748	467	670	575	1033	674	359	559
AGIS_Os01g004140	0	0	0	0	0	0	0	0
AGIS_Os01g004150	0	0	0	0	0	8	0	0
AGIS_Os01g004160	0	0	0	0	0	0	0	0
AGIS_Os01g004170	0	0	0	0	0	0	0	0
AGIS_Os01g004180	50	61	192	114	22	12	14	4
AGIS_Os01g004190	0	0	0	0	0	0	0	0
AGIS_Os01g004200	0	0	0	0	0	0	0	0
AGIS_Os01g004210	14	12	20	6	0	0	0	0
AGIS_Os01g004220	12	0	11	0	10	0	0	14
AGIS_Os01g004230	0	0	0	0	0	0	0	1
AGIS_Os01g004240	18	6	0	4	12	6	1	6
