,genes,logFC,logCPM,F,PValue,FDR,change,CPM.pho2HPmock_1,CPM.phoHPmock_2,CPM.pho2HPmock_3,CPM.pho2HPmock_4,CPM.pho2HPmyc_1,CPM.pho2HPmyc_2,CPM.pho2HPmyc_3,CPM.pho2HPmyc_4
36511,AGIS_Os07g042030,-5.310566e-01, 5.114210e-01, 1.011242e+00,3.470564e-01,7.529214e-01,Not_significant,1.347176e+00,1.644302e+00,8.902423e-01,2.485995e+00,4.135805e-01,2.054191e+00,1.107482e+00,1.131873e+00
36512,AGIS_Os07g042040, 2.308828e-01, 2.801299e+00, 7.412413e-01,4.168889e-01,7.910823e-01,Not_significant,5.101602e+00,5.819963e+00,7.971715e+00,6.376292e+00,1.050981e+01,6.293295e+00,7.665852e+00,5.724042e+00
36514,AGIS_Os07g042060, 1.788191e-02, 3.943798e+00, 8.510608e-04,9.775392e-01,9.930930e-01,Not_significant,2.588345e+01,2.899163e+01,2.690960e+00,1.178475e+01,1.481591e+01,9.355907e+00,1.320326e+01,1.608876e+01
36515,AGIS_Os07g042070, 4.187095e-01, 2.065861e+00, 1.405532e+00,2.732839e-01,6.972785e-01,Not_significant,4.041529e+00,4.781456e+00,1.760252e+00,3.833366e+00,3.235659e+00,6.255946e+00,5.122104e+00,4.139420e+00
36516,AGIS_Os07g042080,-2.439582e-01, 2.873074e+00, 1.462269e+00,2.646088e-01,6.893124e-01,Not_significant,1.057865e+01,4.673278e+00,1.029848e+01,6.243453e+00,9.390709e+00,4.257778e+00,7.406286e+00,5.465328e+00
36517,AGIS_Os07g042090, 4.304495e-02, 1.630769e+00, 2.250043e-02,8.848611e-01,9.701150e-01,Not_significant,3.621917e+00,3.396781e+00,2.630261e+00,2.467018e+00,3.114018e+00,2.801170e+00,3.408968e+00,3.023717e+00
36518,AGIS_Os07g042100,-7.850236e-01, 3.691928e+00, 6.218908e+00,4.037546e-02,3.186114e-01,Not_significant,1.479685e+01,1.034179e+01,1.812857e+01,2.231702e+01,9.342053e+00,1.238117e+01,8.721421e+00,7.049950e+00
36519,AGIS_Os07g042110,-3.830478e-02, 4.046362e+00, 5.110371e-02,8.274097e-01,9.548806e-01,Not_significant,1.568025e+01,1.834695e+01,1.505319e+01,1.778151e+01,1.778396e+01,1.514499e+01,1.624884e+01,1.583005e+01
36521,AGIS_Os07g042130, 8.989682e-02, 5.338197e+00, 3.741595e-01,5.594748e-01,8.612546e-01,Not_significant,4.313173e+01,3.851128e+01,3.769367e+01,3.740379e+01,4.223386e+01,4.028082e+01,4.134023e+01,4.272011e+01
36522,AGIS_Os07g042140,-2.016737e-01, 6.488842e+00, 9.595796e-01,3.589154e-01,7.588728e-01,Not_significant,9.394898e+01,7.477246e+01,1.129798e+02,1.024761e+02,1.025923e+02,8.676156e+01,7.485886e+01,6.980421e+01
36523,AGIS_Os07g042150,-1.111896e+00,-1.213303e+00, 9.022944e-01,3.728207e-01,7.659676e-01,Not_significant,7.288003e-01,4.543465e-01,8.093112e-01,1.328394e-01,7.298479e-02,2.987914e-01,1.730441e-01,4.689187e-01
36524,AGIS_Os07g042160, 6.446486e-01, 4.088825e+00, 1.498798e+00,2.603722e-01,6.860181e-01,Not_significant,2.075977e+01,2.014270e+01,2.994451e+00,1.427075e+01,1.712710e+01,1.359501e+01,1.860224e+01,2.831299e+01
36525,AGIS_Os07g042170,-2.854848e-01, 2.446460e+00, 1.545953e+00,2.525221e-01,6.793960e-01,Not_significant,7.199664e+00,5.711785e+00,6.272162e+00,4.725288e+00,4.914309e+00,4.761988e+00,4.879843e+00,4.834713e+00
